mex_sector,mex_subsector,ID,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Code
[2] Procesos industriales y uso de productos,[2E] Industria electrónica,[2E] Industria electrónicaPFCS,PFCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03087353,MEX
[2] Procesos industriales y uso de productos,[2E] Industria electrónica,[2E] Industria electrónicaPFCs,PFCs,0,0,0,0,0,0,0,0,0.00007606,0.00036682,0.00065757,0.00094832,0.00123908,0.00152983,0.00159723,0.00166464,0.00173204,0.00179944,0.00186684,0.00193424,0.00200165,0.01843359,0.01884122,0.01940069,0.02146038,0.02364159,0.02500973,0.02523347,0.02556325,0.02617395,0.02733525,0.03231055,0.03432727,0,MEX
[2] Procesos industriales y uso de productos,[2E] Industria electrónica,[2E] Industria electrónicaSF6,SF6,0,0,0,0,0,0,0,0,0.0000219,0.00010561,0.00018932,0.00027303,0.00035674,0.00044045,0.00045985,0.00047926,0.00049866,0.00051807,0.00053747,0.00055688,0.00057628,0.00059569,0.00061509,0.00161121,0.00175592,0.00184851,0.00189982,0.00202071,0.00209889,0.00226173,0.00209245,0.00249857,0.002559,0.00234061,MEX
[2] Procesos industriales y uso de productos,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozonoHFCS,HFCS,0,0,0,0,0,0,0,0,0,0,0.59911993,0.78057726,0.9748026,1.19261827,1.44465889,1.72987529,2.19591538,4.11935061,6.29161444,8.17518823,10.15041402,11.20525391,12.33746934,13.58694439,14.95329398,16.17636366,17.13964235,18.03362344,19.12884749,20.33225914,21.0816685,22.93842453,25.28523339,29.39323567,MEX
[2] Procesos industriales y uso de productos,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozonoNF3,NF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozonoPFCs,PFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozonoSF6,SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,[2G] Manufactura y utilización de otros productosHFCs,HFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,[2G] Manufactura y utilización de otros productosNF3,NF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,[2G] Manufactura y utilización de otros productosPFCs,PFCs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[2] Procesos industriales y uso de productos,[2G] Manufactura y utilización de otros productos,[2G] Manufactura y utilización de otros productosSF6,SF6,0.03651712,0.03903577,0.04343697,0.04777648,0.05149287,0.05340825,0.06524611,0.06524611,0.0665698,0.06855193,0.07185857,0.07580968,0.08607657,0.09693016,0.10701251,0.11382684,0.11694099,0.13655214,0.13966629,0.14033643,0.15567058,0.1609196,0.16372463,0.17630565,0.18410655,0.19899181,0.21511243,0.25506783,0.27656521,0.39865417,0.39865417,0.39865417,0.39865417,0.39865417,MEX
[2] Procesos industriales y uso de productos,[2H] Otros,[2H] OtrosCO2,CO2,0,0,0,0,0,0,0,0.06031641,0.07764271,0.04421209,0.03919582,0.04853805,0.03989173,0.04070004,0.04803386,0.07158485,0.07006606,0.01999926,0.02948583,0.02893059,0.04417185,0.04521156,0.04887057,0.04949792,0.05171177,0.05792558,0.03646089,0.03479249,0.03552956,0.02779876,0.02526474,0.02704469,0.03366526,0.03182073,MEX
[3] Agricultura,[3A] Fermentación entérica,[3A] Fermentación entéricaCH4,CH4,73.956555,73.167335,71.653365,69.30476,68.954595,68.01033,65.522695,66.445747,67.172497,65.437137,66.477579,66.784472,68.448431,68.623846,68.336021,67.822257,68.2462,68.851728,69.872495,70.923562,71.600319,72.137471,70.081768,71.048914,72.058466,73.29235,74.037671,75.057267,76.202082,77.083942,78.022933,78.780629,79.719088,80.282859,MEX
[3] Agricultura,[3A] Fermentación entérica,[3A] Fermentación entéricaN2O,N2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEX
[3] Agricultura,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,[3B5] Emisiones indirectas de los N2O de la gestión del estiércol:N2O,N2O,1.48101423,1.53830195,1.58039194,1.61156838,1.68638867,1.72942153,1.67189405,1.68471032,1.78664223,1.85404014,1.94795782,2.00712193,2.04721193,2.75493218,2.45470896,2.45059497,2.52356561,2.58866921,2.64458083,2.67322698,2.74235,2.79236592,2.81238,2.81036,2.919332,2.87210675,0.70660984,0.71723852,0.73825057,1.31628,1.4473356,1.45977031,1.45977031,1.7569836,MEX
[3] Agricultura,[3B] Gestión del estiércol,[3B] Gestión del estiércolCH4,CH4,15.406684,14.490984,14.209523,15.583546,15.596251,15.523795,15.075304,15.08196,14.658412,14.776443,15.039112,15.421624,15.899751,15.778915,16.066768,16.153532,16.547106,16.499742,16.583278,16.53743,16.38739,16.845508,17.029798,17.358827,17.448998,16.888453,18.038811,18.317431,18.640462,19.186104,19.125077,19.246454,19.445105,19.821297,MEX
[3] Agricultura,[3B] Gestión del estiércol,[3B] Gestión del estiércolN2O,N2O,7.01887178,6.85866954,6.65257273,6.16664536,6.10887369,5.99674598,5.80671737,5.84078291,5.87077738,5.70299415,5.76626322,5.78878511,5.88691654,5.83415224,5.77120282,5.72267404,5.71545558,5.71837724,5.750056,6.9856083,7.0237736,7.04631606,6.91460984,7.01168946,7.0985015,7.21007951,7.30959419,7.42227905,7.57902894,7.67341108,7.86087947,7.99591547,8.22765192,8.32669444,MEX
[3] Agricultura,[3C] Cultivo del arroz,[3C] Cultivo del arrozCH4,CH4,0.2581458,0.23949932,0.2643309,0.1642154,0.24459829,0.22368999,0.24103732,0.31697566,0.27680115,0.21992325,0.23026976,0.14403343,0.13698439,0.16432756,0.17098471,0.16269384,0.19281454,0.19249731,0.14363048,0.15237392,0.12271108,0.09796665,0.09027179,0.09771216,0.12105528,0.12373002,0.12718064,0.12808127,0.13774643,0.119135,0.14344188,0.12080518,0.1157233,0.113413,MEX
[3] Agricultura,[3D1] Emisiones directas de los N2O de los suelos gestionados,[3D1] Emisiones directas de los N2O de los suelos gestionadosN2O,N2O,8.6971114,7.44420592,8.55151818,7.4455808,8.22995106,7.79833086,7.27439778,8.94444697,8.39291443,9.63004597,9.87913965,9.6496696,10.02767,9.9392543,11.2889565,10.2876266,9.97827486,11.2754975,12.346781,10.4813428,12.8002333,12.9100293,11.7999727,15.4258905,12.9827078,14.591369,12.2896532,13.5628859,15.4955643,13.7723759,12.3562602,13.9052161,13.963423,12.1779585,MEX
[3] Agricultura,[3D2] Emisiones indirectas de los N2O de los suelos gestionados,[3D2] Emisiones indirectas de los N2O de los suelos gestionadosN2O,N2O,4.24073346,4.13535522,4.27169797,4.06930345,4.69442038,4.33313406,4.14804924,4.90946093,4.57334072,5.0904828,5.05303061,5.01607989,5.28842652,5.24068097,5.44249108,5.36588553,5.20748545,5.66139516,6.2187963,5.55943577,5.73614442,6.56010559,6.10075691,6.40665666,6.35485217,6.5234619,6.45458468,6.71513595,6.44485127,6.72291553,6.14419186,6.26988821,6.91670553,6.47199982,MEX
[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,[3F] Emisiones de quemado de biomasa en tierras de cultivoCH4,CH4,0.48668762,0.4668094,0.52551237,0.5026669,0.49848112,0.52228581,0.54896197,0.53617704,0.56462761,0.53673237,0.5191206,0.56963679,0.57148272,0.60967173,0.61201967,0.59886403,0.59597826,0.62136606,0.6381148,0.58617522,0.62060846,0.56099249,0.63836696,0.70237723,0.68808666,0.67133641,0.71296174,0.7098824,0.7098824,0.7098824,0.64373273,0.64015259,0.63659057,0.64178557,MEX
[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,[3F] Emisiones de quemado de biomasa en tierras de cultivoN2O,N2O,0.14771384,0.13886579,0.15923631,0.15207509,0.15147065,0.1581256,0.16639073,0.16266531,0.17090696,0.16249634,0.15811169,0.17303438,0.17294964,0.18452316,0.18520087,0.18103483,0.18053844,0.18891656,0.19459891,0.17836826,0.1889617,0.17045699,0.19362501,0.72952149,0.20837664,0.20353043,0.21644269,0.21512712,0.21512712,0.21512712,0.19553796,0.1946298,0.19408921,0.19557258,MEX
[3] Agricultura,[3G] Encalado,[3G] EncaladoCO2,CO2,0.03093167,0.03131552,0.03169938,0.03232354,0.03294821,0.03184861,0.03266722,0.03417458,0.03366194,0.03326486,0.03459937,0.03507599,0.03592577,0.03587652,0.03492688,0.03449168,0.03652768,0.0366642,0.03774117,0.03563188,0.0385348,0.0418105,0.04388084,0.03859099,0.04311448,0.04282571,0.04501015,0.04895553,0.03691304,0.03782994,0.04014954,0.04384412,0.0434438,0.04150239,MEX
[3] Agricultura,[3H] Aplicación de urea,[3H] Aplicación de ureaCO2,CO2,0.84097517,0.80244726,0.94188188,0.88922765,1.06680972,0.91060742,0.74936031,0.92654038,0.95684534,1.06555074,1.07793017,1.08587137,1.16879227,1.19375632,1.29863145,1.42149288,1.3097516,1.65241173,1.59655524,1.45867937,1.51420805,1.6746551,1.57197304,1.21368906,1.29556476,1.16450327,1.41928553,1.4572348,1.39383043,1.40222237,1.46354752,1.410101,1.54869408,1.61227861,MEX
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4(IV)] Emisiones de GEI por quemado de biomasa,[4(IV)] Emisiones de GEI por quemado de biomasaCH4,CH4,0.18760095,0.62829051,0.10360286,0.54838276,0.33187168,0.7406468,0.62442396,0.22222799,1.77493204,0.50800921,0.52192,0.24494744,0.46321288,0.77108734,0.16862323,0.58767661,0.54287391,0.3716281,0.51516342,0.68170088,0.24168606,2.58155425,0.60766943,0.63732737,0.17821676,0.12776465,0.29909243,0.8286331,0.49763079,0.74879824,0.5580533,0.843603,1.91862698,2.5037663,MEX
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4(IV)] Emisiones de GEI por quemado de biomasa,[4(IV)] Emisiones de GEI por quemado de biomasaN2O,N2O,0.07597637,0.2544509,0.04195805,0.22208913,0.13440447,0.30045624,0.23922339,0.09347142,0.76477684,0.2197638,0.22128005,0.11146341,0.19197029,0.30851113,0.07106422,0.24241396,0.21623157,0.14071109,0.21037062,0.26894581,0.10039713,0.96376385,0.2807019,0.30405794,0.09560219,0.05515365,0.1609997,0.4395876,0.28075437,0.39283626,0.25877376,0.44099343,0.95243418,1.23319089,MEX
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4A] Tierra forestales,[4A] Tierra forestalesCO2,CO2,-190.7742946,-190.186913,-189.5995313,-189.0121496,-188.4247679,-187.8373862,-187.2500045,-186.6626228,-186.0752411,-185.4878594,-189.8406154,-190.0626339,-189.5825799,-189.3208132,-188.9617993,-188.5535362,-188.2091026,-188.3073194,-187.9829313,-187.2598299,-186.7042099,-186.0640052,-185.776496,-185.3813941,-184.7937878,-184.3462026,-183.7211129,-183.3298461,-182.7910618,-183.3746877,-182.756333,-182.2840925,-182.0314362,-181.5048612,MEX
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4B] Tierra de cultivo,[4B] Tierra de cultivoCO2,CO2,-14.05761725,-14.01433476,-13.97105226,-13.92776977,-13.88448728,-13.84120478,-13.79792229,-13.7546398,-13.71135731,-13.66807481,-13.98881707,-13.98689167,-12.41742837,-13.27660064,-10.77056292,-9.74145361,-12.01269205,-11.09407415,-10.30276601,-10.70360503,-10.97473685,-8.57761829,-12.6635715,-10.73075482,-11.50035389,-14.44393217,-10.83925145,-13.67144716,-9.8372964,-12.92528427,-14.48432844,-14.6332697,-17.72164932,-15.09291194,MEX
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4C] Praderas,[4C] PraderasCO2,CO2,5.10618429,5.09046268,5.07474107,5.05901946,5.04329785,5.02757624,5.01185463,4.99613302,4.9804114,4.96468979,5.08119383,5.08938248,8.90528271,10.01121032,6.81754097,6.73340461,7.54870051,11.21719948,6.93226399,19.11487949,9.84420531,11.51381793,9.6605105,15.68434227,13.3217293,11.74565685,13.45917941,10.04540569,13.84015708,14.7665584,15.71183382,12.61552286,7.99711426,10.77453095,MEX
