subsector_ssp,mex_sector,mex_subsector,gas,ID,vars,ids,MEX,
soil,[3] Agricultura,[3D2] Emisiones indirectas de los N2O de los suelos gestionados,N2O,[3D2] Emisiones indirectas de los N2O de los suelos gestionados:N2O,emission_co2e_n2o_soil_paddock_pasture_range,46:[3D2] Emisiones indirectas de los N2O de los suelos gestionados:N2O,6.47199982,46
agrc,[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,CH4,[3F] Emisiones de quemado de biomasa en tierras de cultivo:CH4,emission_co2e_ch4_agrc_biomass_burning,47:[3F] Emisiones de quemado de biomasa en tierras de cultivo:CH4,0.64178557,47
agrc,[3] Agricultura,[3F] Emisiones de quemado de biomasa en tierras de cultivo,N2O,[3F] Emisiones de quemado de biomasa en tierras de cultivo:N2O,emission_co2e_n2o_agrc_biomass_burning:emission_co2e_n2o_agrc_crop_residues,48:[3F] Emisiones de quemado de biomasa en tierras de cultivo:N2O,0.19557258,48
soil,[3] Agricultura,[3G] Encalado,CO2,[3G] Encalado:CO2,emission_co2e_co2_soil_lime_use,49:[3G] Encalado:CO2,0.04150239,49
soil,[3] Agricultura,[3H] Aplicación de urea,CO2,[3H] Aplicación de urea:CO2,emission_co2e_co2_soil_urea_use,50:[3H] Aplicación de urea:CO2,1.61227861,50
frst,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4A] Tierra forestales,CO2,[4A] Tierra forestales:CO2,emission_co2e_co2_frst_sequestration_mangroves:emission_co2e_co2_frst_sequestration_primary:emission_co2e_co2_frst_sequestration_secondary,51:[4A] Tierra forestales:CO2,-181.5048612,51
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4B] Tierra de cultivo,CO2,[4B] Tierra de cultivo:CO2,emission_co2e_co2_lndu_conversion_croplands_to_croplands:emission_co2e_co2_lndu_conversion_flooded_to_croplands:emission_co2e_co2_lndu_conversion_grasslands_to_croplands:emission_co2e_co2_lndu_conversion_other_to_croplands:emission_co2e_co2_lndu_conversion_pastures_to_croplands:emission_co2e_co2_lndu_conversion_settlements_to_croplands:emission_co2e_co2_lndu_conversion_shrublands_to_croplands:emission_co2e_co2_lndu_conversion_wetlands_to_croplands,52:[4B] Tierra de cultivo:CO2,-15.09291194,52
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4C] Praderas,CO2,[4C] Praderas:CO2,emission_co2e_co2_lndu_biomass_sequestration_grasslands:emission_co2e_co2_lndu_biomass_sequestration_pastures:emission_co2e_co2_lndu_biomass_sequestration_shrublands:emission_co2e_co2_lndu_conversion_croplands_to_grasslands:emission_co2e_co2_lndu_conversion_croplands_to_pastures:emission_co2e_co2_lndu_conversion_croplands_to_shrublands:emission_co2e_co2_lndu_conversion_flooded_to_grasslands:emission_co2e_co2_lndu_conversion_flooded_to_pastures:emission_co2e_co2_lndu_conversion_flooded_to_shrublands:emission_co2e_co2_lndu_conversion_grasslands_to_grasslands:emission_co2e_co2_lndu_conversion_grasslands_to_pastures:emission_co2e_co2_lndu_conversion_grasslands_to_shrublands:emission_co2e_co2_lndu_conversion_other_to_grasslands:emission_co2e_co2_lndu_conversion_other_to_pastures:emission_co2e_co2_lndu_conversion_other_to_shrublands:emission_co2e_co2_lndu_conversion_pastures_to_grasslands:emission_co2e_co2_lndu_conversion_pastures_to_pastures:emission_co2e_co2_lndu_conversion_pastures_to_shrublands:emission_co2e_co2_lndu_conversion_settlements_to_grasslands:emission_co2e_co2_lndu_conversion_settlements_to_pastures:emission_co2e_co2_lndu_conversion_settlements_to_shrublands:emission_co2e_co2_lndu_conversion_shrublands_to_grasslands:emission_co2e_co2_lndu_conversion_shrublands_to_pastures:emission_co2e_co2_lndu_conversion_shrublands_to_shrublands:emission_co2e_co2_lndu_conversion_wetlands_to_grasslands:emission_co2e_co2_lndu_conversion_wetlands_to_pastures:emission_co2e_co2_lndu_conversion_wetlands_to_shrublands,53:[4C] Praderas:CO2,10.77453095,53
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4D] Humedales,CO2,[4D] Humedales:CO2,emission_co2e_co2_lndu_biomass_sequestration_wetlands:emission_co2e_co2_lndu_conversion_croplands_to_flooded:emission_co2e_co2_lndu_conversion_croplands_to_wetlands:emission_co2e_co2_lndu_conversion_flooded_to_flooded:emission_co2e_co2_lndu_conversion_flooded_to_wetlands:emission_co2e_co2_lndu_conversion_grasslands_to_flooded:emission_co2e_co2_lndu_conversion_grasslands_to_wetlands:emission_co2e_co2_lndu_conversion_other_to_flooded:emission_co2e_co2_lndu_conversion_other_to_wetlands:emission_co2e_co2_lndu_conversion_pastures_to_flooded:emission_co2e_co2_lndu_conversion_pastures_to_wetlands:emission_co2e_co2_lndu_conversion_settlements_to_flooded:emission_co2e_co2_lndu_conversion_settlements_to_wetlands:emission_co2e_co2_lndu_conversion_shrublands_to_flooded:emission_co2e_co2_lndu_conversion_shrublands_to_wetlands:emission_co2e_co2_lndu_conversion_wetlands_to_flooded:emission_co2e_co2_lndu_conversion_wetlands_to_wetlands,54:[4D] Humedales:CO2,0.10248526,54
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4E] Asentamientos,CO2,[4E] Asentamientos:CO2,emission_co2e_co2_lndu_biomass_sequestration_settlements:emission_co2e_co2_lndu_conversion_croplands_to_settlements:emission_co2e_co2_lndu_conversion_flooded_to_settlements:emission_co2e_co2_lndu_conversion_grasslands_to_settlements:emission_co2e_co2_lndu_conversion_other_to_settlements:emission_co2e_co2_lndu_conversion_pastures_to_settlements:emission_co2e_co2_lndu_conversion_settlements_to_settlements:emission_co2e_co2_lndu_conversion_shrublands_to_settlements:emission_co2e_co2_lndu_conversion_wetlands_to_settlements,55:[4E] Asentamientos:CO2,0.60944543,55
lndu,"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",[4F] Otras tierras,CO2,[4F] Otras tierras:CO2,emission_co2e_co2_lndu_biomass_sequestration_other:emission_co2e_co2_lndu_conversion_croplands_to_other:emission_co2e_co2_lndu_conversion_flooded_to_other:emission_co2e_co2_lndu_conversion_grasslands_to_other:emission_co2e_co2_lndu_conversion_other_to_other:emission_co2e_co2_lndu_conversion_pastures_to_other:emission_co2e_co2_lndu_conversion_settlements_to_other:emission_co2e_co2_lndu_conversion_shrublands_to_other:emission_co2e_co2_lndu_conversion_wetlands_to_other,56:[4F] Otras tierras:CO2,0.87769924,56
