time_period,strategy_id,nemomod_entc_discounted_capital_investment_fp_ammonia_production,nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis,nemomod_entc_discounted_capital_investment_fp_hydrogen_gasification,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation,nemomod_entc_discounted_capital_investment_fp_hydrogen_reformation_ccs,nemomod_entc_discounted_capital_investment_fp_natural_gas_liquefaction,nemomod_entc_discounted_capital_investment_pp_biogas,nemomod_entc_discounted_capital_investment_pp_biomass,nemomod_entc_discounted_capital_investment_pp_coal,nemomod_entc_discounted_capital_investment_pp_coal_ccs,nemomod_entc_discounted_capital_investment_pp_gas,nemomod_entc_discounted_capital_investment_pp_gas_ccs,nemomod_entc_discounted_capital_investment_pp_geothermal,nemomod_entc_discounted_capital_investment_pp_hydropower,nemomod_entc_discounted_capital_investment_pp_nuclear,nemomod_entc_discounted_capital_investment_pp_ocean,nemomod_entc_discounted_capital_investment_pp_oil,nemomod_entc_discounted_capital_investment_pp_solar,nemomod_entc_discounted_capital_investment_pp_waste_incineration,nemomod_entc_discounted_capital_investment_pp_wind
33,6006,0,0,0,0,0,0,122.225049741778,0,99.6780065004972,0,203.553939904613,0,12.196536270968,0,0,0,304.961320312066,97.0847917424091,1.60876597609852,279.925329349711
34,6006,0,0,0,0,0,0,128.711569895331,0,94.7603093227496,0,196.676199977295,0,11.3299842033776,0,0,0,1345.33859558451,399.592615006336,0,0
35,6006,0,0,0,0,0,0,135.558742940619,0,90.2333444652423,0,191.179317734347,0,10.5423045011771,0,0,0,154.194071251801,68.4101839974368,0,50.4698974719447
36,6006,0,0,0,0,0,0,139.640962185519,0,96.3378018350562,0,198.810510068243,0,11.2555114513173,0,0,0,159.28325800505,51.1022645008954,0,74.4933802935696
37,6006,0,0,0,0,0,0,146.32848944124,0,84.3709689259614,0,187.46464890577,0,9.85738089115684,0,0,0,849.714881172875,1130.73048333098,0,36.4845540498418
38,6006,0,0,0,0,0,0,153.012525266054,0,69.953923773758,0,1997.43780303874,0,8.17298272435352,0,0,0,0,37.1069699273662,0,118.104682156177
39,6006,0,0,0,0,0,0,159.82665350331,0,58.3948456239883,0,1357.94534701764,0,6.82249170210525,0,0,0,0,469.893587063091,0,51.6173044588152
40,6006,0,0,0,0,0,0,166.576055776338,0,38.4702196426175,0,548.977987574886,0,4.49462193940821,0,0,0,309.086631972915,55.7487069372741,0,3347.08389421228
41,6006,0,0,0,0,0,0,173.319312644107,0,21.7343134428367,0,320.170467253085,0,160.443309158387,0,0,0,0,59.1629767285067,0,0
42,6006,0,0,0,0,0,0,181.175393378343,0,6.12332914669961,0,1001.50106276899,0,0.715411811542648,0,0,0,0,3.24811216075392,0,0
43,6006,0,0,0,0,0,0,188.356232542991,0,0,0,1838.71294876353,0,890.771143160148,0,0,0,0,225.446155682887,0,99.4226469601292
44,6006,0,0,0,0,0,0,195.757601038074,0,0,0,218.118760167978,0,4.23693995078335,0,0,0,0,0,0,40.638143879985
45,6006,0,0,0,0,0,0,203.344005344577,0,0,0,1020.76767448979,0,4.99864928467337,0,0,0,0,0,0,29.2772265869826
