time_period,primary_id,nemomod_entc_annual_production_by_technology_pp_biogas,nemomod_entc_annual_production_by_technology_pp_biomass,nemomod_entc_annual_production_by_technology_pp_coal,nemomod_entc_annual_production_by_technology_pp_coal_ccs,nemomod_entc_annual_production_by_technology_pp_gas,nemomod_entc_annual_production_by_technology_pp_gas_ccs,nemomod_entc_annual_production_by_technology_pp_geothermal,nemomod_entc_annual_production_by_technology_pp_hydropower,nemomod_entc_annual_production_by_technology_pp_nuclear,nemomod_entc_annual_production_by_technology_pp_ocean,nemomod_entc_annual_production_by_technology_pp_oil,nemomod_entc_annual_production_by_technology_pp_solar,nemomod_entc_annual_production_by_technology_pp_waste_incineration,nemomod_entc_annual_production_by_technology_pp_wind,nemomod_entc_annual_production_by_technology_st_batteries,nemomod_entc_annual_production_by_technology_st_compressed_air,nemomod_entc_annual_production_by_technology_st_flywheels,nemomod_entc_annual_production_by_technology_st_pumped_hydro
20,0,0.0407372007683833,0.0,64.4166247802479,0.0,967.3125313781871,0.0,16.67803273846047,75.2575043226606,38.8958493363261,0.0,163.61995916312404,108.60055719006898,15.53923791081039,153.46831301521743,0.0,0.0,0.0,0.0
21,0,0.0410989910208486,0.0,66.11710521046861,0.0,992.8478032917232,0.0,17.118302131386322,75.25750432266139,38.89584933632611,0.0,167.93922518334116,114.93197276639498,15.83956890863166,153.46831301521732,0.0,0.0,0.0,0.0
22,0,0.0414705415971847,0.0,67.92936839370405,0.0,1020.0616614111024,0.0,17.58751306573467,75.25750432266098,38.89584933632611,0.0,172.54242240215507,116.26077420966932,16.155843317189746,158.88793788113188,0.0,0.0,0.0,0.0
23,0,0.0418521535658629,0.1430454019681376,69.86122247891683,0.0,1049.0713568398123,0.0,18.08768714019172,75.25750432266095,38.89584933632611,0.0,177.44938372789892,117.3327598540281,16.488940202642844,164.86752584707656,0.0,0.0,0.0,0.0
24,0,0.0422433480569046,0.1097883481516932,71.91555414227963,0.0,1079.9202373633873,0.0,18.61957174069824,75.25750432266099,38.89584933632611,0.0,182.66744139567663,120.78303448657717,16.83874471845217,169.10216031175165,0.0,0.0,0.0,0.0
25,0,0.0426428771591018,0.0687178891807719,74.0896241565854,0.0,1112.5671693643385,0.0,19.182457657152145,75.25750432266088,38.895849336326116,0.0,188.1896376947221,124.43441111359463,17.20408413929462,173.59040246793973,0.0,0.0,0.0,0.0
26,0,0.0430074962157563,0.0687178891807719,76.34051229694751,0.0,1146.3676410955188,0.0,19.76523246448857,75.25750432266092,38.89584933632611,0.0,193.90695409965952,128.21480470334447,17.572004435839432,178.1958062990356,0.0,0.0,0.0,0.0
27,0,0.0433738096336099,0.0572982985491135,78.67289161400085,0.0,1181.3918254424889,0.0,20.36910605676426,75.25750432266092,38.89584933632611,0.0,199.83126028476408,132.1320637003354,17.947305149586004,182.9801447145395,0.0,0.0,0.0,0.0
28,0,0.0437401020871737,0.0572982985491135,81.07550994871711,0.0,1217.4707543093523,0.0,20.991165150687948,75.25750432266078,38.89584933632611,0.0,205.93397546352315,136.1672899687166,18.32765057578187,187.89754168693855,0.0,0.0,0.0,0.0
29,0,0.0441067074791935,0.0572982985491135,83.55252553124612,0.0,1254.6668697775765,0.0,21.632486348748657,75.25750432266095,38.8958493363261,0.0,212.22566165233587,140.32746730582622,18.7135064626022,192.96794601560143,0.0,0.0,0.0,0.0
30,0,0.0444739626719353,0.0,86.10850855356966,0.0,1293.0488001553006,0.0,22.294252913989936,75.2575043226609,38.89584933632611,0.0,218.7179272617326,144.62027140383304,19.105365830976815,198.25803066350676,0.0,0.0,0.0,0.0
31,0,0.0448031575140739,0.0,88.73567728908428,0.0,1332.4996911105109,0.0,22.9744500887076,75.25750432266082,38.89584933632611,0.0,225.39100649688285,149.03263275970787,19.496144447255745,203.6375340753449,0.0,0.0,0.0,0.0
