Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1997,1997,t,8600,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1998,1998,t,9000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",1999,1999,t,9000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2000,2000,t,10000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2001,2001,t,9162.41,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2002,2002,t,9082.81,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2003,2003,t,8990.25,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2004,2004,t,8886.47,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2005,2005,t,8923.85,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2006,2006,t,7899.68,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2007,2007,t,7648.28,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2008,2008,t,7390.55,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2009,2009,t,7137.76,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2010,2010,t,6894.19,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2011,2011,t,6662.44,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2012,2012,t,6000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2013,2013,t,6000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2014,2014,t,6410.31,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2015,2015,t,6442.16,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2016,2016,t,6083.49,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2017,2017,t,6311.98,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2018,2018,t,6279.21,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2019,2019,t,5954.3,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2020,2020,t,6181.83,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2021,2021,t,6138.45,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2022,2022,t,6091.53,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1929.06,"Agave fibres, raw, n.e.c.",2023,2023,t,6137.27,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1961,1961,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1962,1962,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1963,1963,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1964,1964,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1965,1965,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1966,1966,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1967,1967,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1968,1968,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1969,1969,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1970,1970,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1971,1971,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1972,1972,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1973,1973,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1974,1974,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1975,1975,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1976,1976,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1977,1977,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1978,1978,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1979,1979,t,0,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1980,1980,t,1027,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1981,1981,t,1512,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1982,1982,t,1281,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1983,1983,t,1432,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1984,1984,t,14,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1985,1985,t,49,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1986,1986,t,499,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1987,1987,t,16,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1988,1988,t,416,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1989,1989,t,417,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1990,1990,t,411,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1991,1991,t,119,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1992,1992,t,132,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1993,1993,t,360,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1994,1994,t,103,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1995,1995,t,92,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1996,1996,t,113,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1997,1997,t,109,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1998,1998,t,152,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",1999,1999,t,74,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2000,2000,t,97,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2001,2001,t,57,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2002,2002,t,76,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2003,2003,t,82,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2004,2004,t,60,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2005,2005,t,56.21,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2006,2006,t,58.31,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2007,2007,t,60.66,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2008,2008,t,59.69,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2009,2009,t,58.72,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2010,2010,t,57.75,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2011,2011,t,56.79,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2012,2012,t,55.82,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2013,2013,t,54.85,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2014,2014,t,47.12,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2015,2015,t,45.78,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2016,2016,t,49.25,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2017,2017,t,47.38,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2018,2018,t,47.47,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2019,2019,t,48.03,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2020,2020,t,47.63,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2021,2021,t,47.71,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2022,2022,t,47.79,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1371,"Almonds, in shell",2023,2023,t,47.71,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1961,t,100,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1962,t,120,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1963,t,120,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1964,t,60,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1965,t,60,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1966,t,80,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1967,t,100,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1968,t,100,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1969,1969,t,100,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1970,1970,t,140,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1971,1971,t,200,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1972,1972,t,240,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1973,1973,t,300,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1974,1974,t,340,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1975,1975,t,380,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1976,1976,t,440,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1977,1977,t,577,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1978,1978,t,580,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1979,1979,t,600,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1980,1980,t,8712,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1981,1981,t,7408,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1982,1982,t,13292,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1983,1983,t,11506,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1984,1984,t,14785,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1985,1985,t,17775,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1986,1986,t,20190,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1987,1987,t,21051,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1988,1988,t,25918,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1989,1989,t,20223,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1990,1990,t,23596,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1991,1991,t,24503,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1992,1992,t,22498,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1993,1993,t,22391,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1994,1994,t,22074,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1995,1995,t,27334,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1996,1996,t,28466,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1997,1997,t,32040,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1998,1998,t,32000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1999,1999,t,32000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,2000,t,32000,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,2001,t,32500,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,2002,t,32500,E,Estimated value,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,2003,t,38841,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,2004,t,41080,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,2005,t,51678,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,2006,t,51758,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,2007,t,49688,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2008,t,42327,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2009,t,39672,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,2010,t,46395,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,t,52591,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,2012,t,54081,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2013,2013,t,65057,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,2014,t,53546,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,2015,t,68941,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,2016,t,80264,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,2017,t,132565,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,2018,t,127244,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,t,100559.87,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,t,132675.18,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,t,132914,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,t,114461.82,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,t,118152.3,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1961,1961,t,79723,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1962,1962,t,95429,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1963,1963,t,118820,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1964,1964,t,123501,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1965,1965,t,136238,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1966,1966,t,139805,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1967,1967,t,115131,A,Official figure,
QCL,Crops and livestock products,484,Mexico,5510,Production,1341,Apples,1968,1968,t,126411,A,Official figure,
